Final SMBSC OTR Results from February 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12
1,,94.87%,93.03%,95.53%,93.82%,96.71%,99.21%,97.11%,98.55%,99.12%,96.55%,96.43%,,95.94%,96.55%,97.78%,98.77%,100.00%,99.40%,97.62%,98.10%,96.91%,96.67%,96.79%,,96.07%,97.50%,97.74%,99.09%,98.74%,98.70%,98.40%,99.30%,98.00%,97.60%,98.30%
2,,98.18%,97.45%,98.91%,97.82%,100.00%,98.91%,99.27%,98.55%,99.26%,99.27%,98.55%,,90.55%,97.09%,96.00%,97.82%,90.18%,98.91%,97.09%,96.73%,92.00%,96.00%,97.45%,,94.91%,95.56%,97.14%,97.14%,95.87%,99.00%,97.10%,99.40%,98.10%,97.80%,98.10%
3,,95.60%,94.38%,94.62%,96.33%,95.60%,95.35%,98.29%,97.07%,88.78%,95.35%,95.93%,,94.34%,97.27%,98.05%,95.70%,96.10%,96.81%,97.45%,98.41%,97.29%,96.93%,97.25%,,96.93%,95.15%,96.94%,97.26%,98.55%,99.20%,98.20%,99.00%,97.60%,98.40%,98.90%
4,,93.93%,90.71%,95.71%,96.79%,98.59%,98.57%,98.21%,96.78%,98.21%,96.37%,97.82%,,96.49%,94.38%,97.01%,94.38%,97.72%,98.60%,95.10%,96.32%,96.89%,96.03%,96.37%,,95.85%,96.03%,96.03%,96.37%,95.16%,96.40%,95.80%,95.80%,94.50%,95.10%,96.10%
5,,88.24%,78.99%,81.93%,77.31%,86.55%,97.90%,89.50%,84.87%,94.54%,82.77%,84.87%,,86.97%,86.55%,89.92%,94.54%,93.28%,99.58%,96.64%,96.64%,95.38%,95.80%,95.80%,,95.80%,92.86%,98.32%,95.80%,95.80%,97.60%,97.20%,99.20%,96.30%,96.30%,97.60%
6,,86.26%,87.82%,84.54%,89.72%,88.17%,94.28%,91.17%,91.43%,93.44%,92.02%,90.77%,,91.24%,91.01%,90.32%,95.85%,94.01%,96.50%,94.93%,95.39%,96.08%,89.63%,95.85%,,92.86%,93.78%,96.55% *,94.88%,95.15%,96.20%,92.60%,96.80%,87.80%,88.50%,90.10%
7,,84.09%,88.78%,88.54%,88.74%,90.62%,93.07%,88.94%,89.78%,92.74%,88.61%,88.89%,,88.24%,91.05%,93.77%,93.43%,95.25%,97.69%,93.50%,91.38%,92.92%,89.24%,92.54%,,91.24%,93.82%,96.91% *,92.65%,92.14%,96.00%,94.20%,97.70%,93.90%,91.20%,92.40%
8,,89.37%,86.43%,90.95%,90.16%,92.43%,96.73%,92.23%,94.89%,93.71%,89.92%,92.23%,,88.44%,92.10%,93.31%,93.51%,94.73%,95.06%,93.71%,96.15%,92.96%,92.49%,92.70%,,90.37%,94.92%,94.43% *,95.54%,94.85%,98.20%,97.40%,97.80%,93.30%,91.70%,96.40%
9,,83.67%,88.90%,90.66%,90.62%,90.34%,94.61%,93.89%,91.38%,94.84%,89.35%,92.07%,,88.48%,87.44%,91.16%,90.13%,93.77%,95.16%,92.99%,93.39%,89.21%,89.67%,92.79%,,86.99%,86.62%,95.10% *,86.55%,90.61%,94.10%,89.80%,95.40%,92.50%,90.00%,93.10%
10,,98.33%,93.72%,97.49%,97.07%,99.16%,97.49%,99.16%,97.47%,96.23%,96.10%,96.54%,,96.10%,97.40%,98.27%,98.25%,98.70%,99.13%,97.84%,98.27%,97.84%,98.70%,99.13%,,95.67%,96.10%,96.54%,94.81%,96.54%,97.00%,97.00%,95.70%,95.70%,93.50%,95.20%
12,,93.33%,93.33%,92.22%,94.44%,93.89%,96.11%,97.22%,96.09%,95.56%,94.15%,96.72%,,96.72%,93.44%,96.17%,96.17%,98.36%,100.00%,97.31%,98.39%,98.92%,96.77%,97.31%,,96.05%,93.55%,91.94%,96.77%,99.46%,96.80%,96.20%,96.20%,97.80%,95.20%,97.30%
13,,94.13%,96.61%,95.49%,96.84%,97.97%,97.07%,97.97%,95.94%,98.42%,97.95%,97.26%,,97.03%,97.49%,96.80%,97.95%,98.40%,99.32%,98.17%,98.17%,98.17%,96.58%,97.03%,,97.72%,97.03%,98.42%,95.66%,96.35%,97.70%,95.20%,96.60%,97.70%,95.20%,98.20%
14,,87.88%,81.82%,81.82%,83.03%,90.30%,100.00%,98.86%,97.71%,98.29%,97.71%,98.29%,,96.00%,94.86%,89.71%,97.71%,92.57%,100.00%,97.71%,97.71%,98.15%,94.22%,97.02%,,95.95%,97.71%,100.00%,96.57%,96.00%,96.00%,95.40%,98.30%,94.00%,93.70%,97.70%
15,,96.53%,94.81%,97.60%,97.87%,96.80%,99.73%,98.67%,95.73%,99.35%,97.70%,97.41%,,91.95%,95.11%,96.55%,98.85%,94.12%,99.73%,95.02%,95.73%,97.07%,91.73%,98.40%,,95.20%,94.93%,97.31%,96.00%,97.87%,98.90%,97.70%,97.10%,95.50%,95.20%,95.50%
,,,,,,,,,,,,,,,,,,,,,,,,,,* The On Time Running surveys undertaken between 20/04/15 and 23/04/15 inclusive have been excluded due to adverse weather conditions on these days.,,,,,,,,,,
,No data collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,,,,,,,,,,,,
1,,96.30%,97.00%,97.60%,97.90%,98.50%,97.90%,97.80%,98.10%,98.30%,98.90%,98.50%,,95.70%,96.30%,98.00%,96.50%,96.10%,98.20%,,,,,,,,,,,,,,,,,
2,,96.80%,95.20%,98.70%,98.70%,97.10%,100.00%,99.70%,95.90%,99.10%,98.80%,100.00%,,96.20%,95.40%,99.10%,97.40%,97.70%,96.20%,,,,,,,,,,,,,,,,,
3,,98.60%,98.70%,99.00%,99.20%,98.20%,99.50%,99.40%,96.10%,98.40%,99.20%,98.90%,,95.90%,95.40%,98.40%,97.00%,98.30%,98.40%,,,,,,,,,,,,,,,,,
4,,91.70%,92.70%,95.20%,97.40%,96.50%,95.70%,96.50%,96.00%,96.60%,97.30%,97.20%,,94.40%,95.00%,92.60%,92.60%,95.30%,96.30%,,,,,,,,,,,,,,,,,
5,,93.10%,93.90%,97.60%,96.30%,98.40%,99.20%,97.60%,95.10%,99.20%,97.20%,100.00%,,96.70%,93.90%,95.50%,93.10%,98.80%,99.60%,,,,,,,,,,,,,,,,,
6,,86.50%,84.10%,86.80%,86.60%,92.00%,95.60%,89.20%,91.00%,92.30%,91.20%,97.40%,,87.10%,87.40%,88.70%,89.00%,90.20%,96.60%,,,,,,,,,,,,,,,,,
7,,87.60%,86.80%,92.40%,93.10%,92.40%,96.60%,93.20%,94.60%,96.10%,94.70%,97.90%,,92.00%,91.30%,94.30%,88.90%,94.70%,89.70%,,,,,,,,,,,,,,,,,
8,,89.30%,89.50%,89.10%,92.50%,91.70%,97.80%,93.90%,95.10%,97.60%,90.50%,99.20%,,86.10%,94.50%,92.50%,94.70%,96.20%,95.70%,,,,,,,,,,,,,,,,,
9,,85.70%,85.30%,87.80%,91.00%,91.70%,97.00%,91.30%,91.00%,93.90%,89.80%,97.90%,,84.30%,84.60%,84.60%,85.10%,86.60%,92.40%,,,,,,,,,,,,,,,,,
10,,92.60%,97.00%,98.30%,91.30%,95.20%,99.60%,97.80%,98.30%,97.00%,96.50%,97.60%,,94.80%,94.80%,92.90%,96.80%,96.80%,95.20%,,,,,,,,,,,,,,,,,
12,,93.50%,98.40%,95.70%,95.20%,97.30%,98.40%,97.30%,98.40%,96.80%,95.70%,99.20%,,90.30%,96.80%,96.20%,96.80%,96.20%,98.90%,,,,,,,,,,,,,,,,,
13,,94.30%,96.80%,95.90%,95.00%,97.20%,97.50%,96.30%,96.10%,96.60%,96.60%,98.40%,,95.20%,95.70%,97.50%,96.80%,97.50%,97.10%,,,,,,,,,,,,,,,,,
14,,94.80%,93.70%,97.30%,89.20%,97.80%,98.40%,93.00%,95.10%,89.70%,90.30%,97.80%,,93.00%,92.40%,88.10%,93.50%,95.10%,98.40%,,,,,,,,,,,,,,,,,
15,,95.70%,98.60%,95.50%,93.10%,96.40%,98.10%,93.60%,95.20%,92.00%,94.10%,99.50%,,85.60%,82.70%,90.40%,88.50%,85.60%,98.70%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No data collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
